NAME	GENE	SCORE	X	Y	ATAN2	cluster
YDL102W	CDC2	2.01	0.758	-0.65	-0.708843522	G1
YDR368W	YPR1	1.385	0.754	-0.65	-0.711459126	G1
YIL177C	YIL177C	3.884	0.752	-0.65	-0.712772909	G1
YGR296W	YGR296W	3.643	0.75	-0.66	-0.721654851	G1
YDR001C	YDR001C	1.391	0.744	-0.66	-0.725640337	G1
YKR077W	YKR077W	6.829	0.744	-0.66	-0.725640337	G1
YGL089C	MF(ALPHA)2	3.969	0.742	-0.67	-0.734450788	G1
YPR202W	YPR202W	3.287	0.74	-0.67	-0.7357935	G1
YHR149C	YHR149C	2.344	0.726	-0.68	-0.752692902	G1
YDL156W	YDL156W	1.72	0.722	-0.69	-0.762739153	G1
YDR507C	GIN4	2.671	0.717	-0.69	-0.766210753	G1
YJR155W	YJR155W	1.62	0.716	-0.69	-0.766908094	G1
YDL164C	CDC9	2.94	0.713	-0.7	-0.77619814	G1
YNL082W	PMS1	4.843	0.712	-0.7	-0.776899784	G1
YGR041W	BUD9	6.509	0.71	-0.7	-0.778306084	G1
YFR027W	YFR027W	1.776	0.704	-0.7	-0.782549168	G1
YDR481C	PHO8	2.677	0.7	-0.71	-0.792490243	G1
YGR042W	YGR042W	2.35	0.699	-0.71	-0.79320496	G1
YOR033C	DHS1	2.848	0.691	-0.72	-0.80594807	G1
YOR144C	YOR144C	1.83	0.686	-0.72	-0.809575528	G1
YGL038C	OCH1	2.828	0.685	-0.72	-0.810304044	G1
YGL185C	YGL185C	1.606	0.678	-0.73	-0.822313204	G1
YBR071W	YBR071W	6.969	0.676	-0.73	-0.823786124	G1
YPL232W	SSO1	1.826	0.674	-0.73	-0.825263072	G1
YKL108W	YKL108W	3.528	0.673	-0.73	-0.82600306	G1
YNL304W	YNL304W	1.681	0.669	-0.74	-0.835745926	G1
YPR018W	RLF2	3.116	0.649	-0.76	-0.864015071	G1
YNL233W	BNI4	3.001	0.646	-0.76	-0.866302263	G1
YMR179W	SPT21	6.183	0.638	-0.76	-0.872445163	G1
YGR109C	CLB6	7.086	0.637	-0.77	-0.879645479	G1
YCL042W	YCL042W	1.831	0.625	-0.78	-0.895274135	G1
YDR528W	YDR528W	3.035	0.612	-0.79	-0.911683996	G1
YER070W	RNR1	4.6	0.6	-0.8	-0.927295218	G1
YKL113C	RAD27	3.445	0.594	-0.8	-0.932112523	G1
YJR054W	YJR054W	1.846	0.59	-0.8	-0.935343334	G1
YNL273W	TOF1	1.978	0.587	-0.8	-0.937776592	G1
YGR044C	RME1	7.011	0.58	-0.81	-0.94937998	G1
YEL076C-A	YEL076C-A	3.149	0.578	-0.81	-0.95101413	G1
YNL072W	RNH35	1.579	0.577	-0.81	-0.951832638	G1
YDL105W	QRI2	1.561	0.573	-0.81	-0.955116229	G1
YPL221W	YPL221W	1.509	0.57	-0.82	-0.963351729	G1
YDL163W	YDL163W	2.562	0.562	-0.82	-0.969959607	G1
YJL217W	YJL217W	2.69	0.559	-0.82	-0.972453119	G1
YJL078C	PRY3	6.46	0.551	-0.83	-0.984742496	G1
YML102W	CAC2	3.078	0.55	-0.83	-0.985579231	G1
YMR078C	CTF18	2.548	0.543	-0.83	-0.99146241	G1
YDL103C	QRI1	2.725	0.542	-0.84	-0.997775954	G1
YCL022C	YCL022C	7.009	0.535	-0.84	-1.00368205	G1
YDL197C	ASF2	1.714	0.533	-0.84	-1.005377725	G1
YGL207W	SPT16	2.553	0.533	-0.84	-1.005377725	G1
YJL181W	YJL181W	3.648	0.531	-0.84	-1.007077056	G1
YJR030C	YJR030C	2.368	0.521	-0.85	-1.020915557	G1
YNL102W	POL1	3.143	0.517	-0.85	-1.024343457	G1
YCL024W	YCL024W	8.194	0.507	-0.86	-1.038107303	G1
YNL309W	STB1	2.981	0.501	-0.86	-1.043300456	G1
YLR457C	NBP1	1.639	0.489	-0.87	-1.05873436	G1
YGR238C	KEL2	1.683	0.487	-0.87	-1.060483026	G1
YPL057C	SUR1	3.412	0.482	-0.87	-1.064869697	G1
YPR175W	DPB2	4.357	0.481	-0.87	-1.065749603	G1
YPR160W	GPH1	1.539	0.48	-0.87	-1.066630365	G1
YCL023C	YCL023C	3.792	0.478	-0.87	-1.068394461	G1
YPL267W	YPL267W	4.936	0.476	-0.87	-1.070161983	G1
YPL153C	RAD53	6.135	0.474	-0.88	-1.076719438	G1
YKL045W	PRI2	6.044	0.462	-0.88	-1.087349325	G1
YCL060C	YCL060C	6.432	0.457	-0.88	-1.09181388	G1
YAR003W	YAR003W	2.121	0.454	-0.89	-1.099091596	G1
YPR120C	CLB5	4.832	0.448	-0.89	-1.104455726	G1
YDL010W	YDL010W	1.526	0.441	-0.89	-1.110750683	G1
YAR008W	SEN34	3.66	0.438	-0.89	-1.113460627	G1
YBL035C	POL12	6.918	0.432	-0.9	-1.123276352	G1
YFL008W	SMC1	1.995	0.432	-0.9	-1.123276352	G1
YOR355W	GDS1	1.629	0.431	-0.9	-1.124179792	G1
YJL073W	JEM1	2.005	0.419	-0.9	-1.135081964	G1
YDL227C	HO	2.861	0.417	-0.9	-1.136909887	G1
YNL312W	RFA2	2.484	0.415	-0.9	-1.138740912	G1
YPR174C	YPR174C	3.609	0.411	-0.91	-1.146572476	G1
YPR135W	CTF4	4.14	0.402	-0.91	-1.15481735	G1
YBR108W	YBR108W	2.777	0.396	-0.91	-1.160347572	G1
YEL064C	YEL064C	1.459	0.396	-0.91	-1.160347572	G1
YJL074C	SMC3	4.7	0.394	-0.91	-1.16219693	G1
YDR097C	MSH6	8.874	0.393	-0.91	-1.163122722	G1
YHR123W	EPT1	1.641	0.391	-0.92	-1.168925679	G1
YMR048W	YMR048W	1.846	0.39	-0.92	-1.169846701	G1
YNL225C	CNM1	1.67	0.386	-0.92	-1.17353798	G1
YLR233C	EST1	1.331	0.383	-0.92	-1.176313968	G1
YLR286C	CTS1	11.2	0.372	-0.92	-1.186547452	G1
YNL231C	YNL231C	1.335	0.37	-0.92	-1.188417293	G1
YLR103C	CDC45	4.782	0.355	-0.93	-1.206146829	G1
YDR307W	YDR307W	1.464	0.353	-0.93	-1.208025207	G1
YGR152C	RSR1	5.978	0.35	-0.93	-1.210847801	G1
YBR070C	YBR070C	3.742	0.346	-0.93	-1.214620602	G1
YCL061C	YCL061C	3.267	0.342	-0.93	-1.218404025	G1
YHR106W	TRR2	1.701	0.34	-0.94	-1.223734723	G1
YIL104C	YIL104C	1.914	0.326	-0.94	-1.23696753	G1
YOL034W	YOL034W	1.691	0.325	-0.94	-1.237917456	G1
YDL011C	YDL011C	1.436	0.322	-0.94	-1.240770977	G1
YOR074C	CDC21	4.771	0.32	-0.94	-1.242676432	G1
YIL066C	RNR3	7.525	0.319	-0.94	-1.243630088	G1
YIL026C	IRR1	2.887	0.315	-0.94	-1.247450877	G1
YNL015W	PBI2	3.064	0.313	-0.94	-1.249364955	G1
YDR503C	LPP1	3.537	0.312	-0.94	-1.250322911	G1
YGR151C	YGR151C	4.73	0.308	-0.95	-1.257278645	G1
YPL163C	SVS1	6.967	0.307	-0.95	-1.25823145	G1
YJL115W	ASF1	6.176	0.306	-0.95	-1.259184842	G1
YLR313C	SPH1	4.271	0.303	-0.95	-1.262048528	G1
YBR088C	POL30	10.05	0.297	-0.95	-1.26779159	G1
YGL163C	RAD54	2.879	0.296	-0.95	-1.268750787	G1
YPL255W	BBP1	1.557	0.292	-0.95	-1.272593297	G1
YDL003W	MCD1	9.61	0.292	-0.95	-1.272593297	G1
YOR321W	PMT3	1.702	0.287	-0.95	-1.277409219	G1
YMR076C	PDS5	2	0.28	-0.96	-1.287002218	G1
YKL042W	SPC42	2.643	0.277	-0.96	-1.289884631	G1
YKL165C	MCD4	2.577	0.272	-0.96	-1.294699307	G1
YCR065W	HCM1	4.464	0.268	-0.96	-1.298560541	G1
YML060W	OGG1	2.915	0.266	-0.96	-1.300494291	G1
YAR007C	RFA1	8.339	0.261	-0.96	-1.305337718	G1
YLL002W	KIM2	3.831	0.259	-0.96	-1.30727868	G1
YGR221C	YGR221C	6.07	0.255	-0.96	-1.311166697	G1
YLR458W	YLR458W	1.456	0.251	-0.96	-1.315062762	G1
YML020W	YML020W	1.508	0.251	-0.96	-1.315062762	G1
YDR440W	PCH1	2.045	0.25	-0.96	-1.316038024	G1
YKL103C	LAP4	2.1	0.238	-0.97	-1.33018869	G1
YOL017W	YOL017W	5.782	0.235	-0.97	-1.333107935	G1
YGR189C	YGR189C	8.29	0.224	-0.97	-1.343846899	G1
YER124C	YER124C	7.869	0.223	-0.97	-1.344825854	G1
YLR212C	TUB4	3.546	0.219	-0.97	-1.348746067	G1
YER149C	PEA2	1.431	0.208	-0.97	-1.359562188	G1
YDR144C	MKC7	1.369	0.205	-0.97	-1.36252088	G1
YBR087W	RFC5	1.481	0.205	-0.97	-1.36252088	G1
YML027W	YOX1	7.835	0.204	-0.97	-1.363507936	G1
YHR153C	SPO16	3.278	0.202	-0.97	-1.365483276	G1
YDR053W	YDR053W	1.317	0.201	-0.97	-1.366471557	G1
YHR159W	YHR159W	2.059	0.194	-0.98	-1.375363858	G1
YLR235C	YLR235C	2.436	0.194	-0.98	-1.375363858	G1
YOR075W	UFE1	1.457	0.193	-0.98	-1.376345977	G1
YBR073W	RDH54	3.306	0.183	-0.98	-1.386187794	G1
YGR153W	YGR153W	1.434	0.183	-0.98	-1.386187794	G1
YJL187C	SWE1	4.635	0.179	-0.98	-1.390134783	G1
YOR115C	YOR115C	1.321	0.177	-0.98	-1.392110421	G1
YNL181W	YNL181W	1.755	0.169	-0.98	-1.400026945	G1
YHR143W	YHR143W	9.329	0.165	-0.98	-1.403993391	G1
YNL289W	PCL1	2.552	0.159	-0.98	-1.409952971	G1
YLR236C	YLR236C	1.832	0.156	-0.98	-1.412937116	G1
YHR127W	HSN1	1.446	0.149	-0.98	-1.419911071	G1
YLR183C	YLR183C	10.31	0.148	-0.98	-1.420908575	G1
YOR320C	YOR320C	3.85	0.144	-0.98	-1.424901578	G1
YBR089W	YBR089W	9.285	0.142	-0.98	-1.426899846	G1
YPL256C	CLN2	10.9	0.141	-0.99	-1.42932354	G1
YFL060C	SNO3	1.856	0.133	-0.99	-1.437252469	G1
YLR343W	YLR343W	1.987	0.131	-0.99	-1.439237383	G1
YNL262W	POL2	5.436	0.13	-0.99	-1.440230232	G1
